model,layer,speaker,triphone,dataset
hubert-base,0,0.09326638819779712,0.09687862891673428,dev-clean
hubert-base,0,0.08090116779583861,0.12228034578997167,dev-other
hubert-base,1,0.16023792392089542,0.07103453084886578,dev-clean
hubert-base,1,0.12943097065859052,0.09066553390324074,dev-other
hubert-base,2,0.1928035717482408,0.0650648368432407,dev-clean
hubert-base,2,0.15370446149520858,0.08539430605895647,dev-other
hubert-base,3,0.22172563383810737,0.06053833266721353,dev-clean
hubert-base,3,0.1743221202597135,0.07909118019389044,dev-other
hubert-base,4,0.24656037657598015,0.05741449572460016,dev-clean
hubert-base,4,0.1942213634452359,0.07445790339220873,dev-other
hubert-base,5,0.2700500067877078,0.047614735419756075,dev-clean
hubert-base,5,0.20948361625866682,0.06258036661239615,dev-other
hubert-base,6,0.29769544282877014,0.043516444224594865,dev-clean
hubert-base,6,0.22853725220810509,0.057095104752825615,dev-other
hubert-base,7,0.325704415844414,0.039615534930488125,dev-clean
hubert-base,7,0.2527810456301791,0.0490403653404386,dev-other
hubert-base,8,0.34342644683544216,0.041673061402405155,dev-clean
hubert-base,8,0.27872931241819804,0.0506116797129182,dev-other
hubert-base,9,0.34512715171570346,0.042911660327997654,dev-clean
hubert-base,9,0.2866582053036175,0.050630587355153515,dev-other
hubert-base,10,0.3316324904532236,0.03842650157606798,dev-clean
hubert-base,10,0.26821040942079644,0.045279062261933956,dev-other
hubert-base,11,0.30263487498733216,0.03378365598941253,dev-clean
hubert-base,11,0.22945917068246866,0.04262460382983024,dev-other
hubert-base,12,0.31857730077487834,0.03739132713888882,dev-clean
hubert-base,12,0.2528629057871347,0.04773438186323131,dev-other
mfcc,,0.06838838884300016,0.11594863878597446,dev-clean
mfcc,,0.06804790016471583,0.145097285854285,dev-other
spinhubert-2048,11,0.39317174064831617,0.028482655123745954,dev-clean
spinhubert-2048,11,0.3512195826677436,0.03326361055907842,dev-other
spinhubert-2048,12,0.41593127571460436,0.02693134553111013,dev-clean
spinhubert-2048,12,0.38521425530427333,0.03203508536187821,dev-other
spinwavlm-2048,11,0.4016018200050445,0.03585926064298853,dev-clean
spinwavlm-2048,11,0.36619470473096677,0.04054172624001241,dev-other
spinwavlm-2048,12,0.42094374894999204,0.030533569128886006,dev-clean
spinwavlm-2048,12,0.3926011721152022,0.03506946271271964,dev-other
wavlm-base,0,0.08525692910520631,0.09892542541408542,dev-clean
wavlm-base,0,0.07479135768847879,0.12490459715150783,dev-other
wavlm-base,1,0.13233194166705994,0.0718654436281988,dev-clean
wavlm-base,1,0.10921969657779713,0.09391392776118192,dev-other
wavlm-base,2,0.17033800538092997,0.06188545175577511,dev-clean
wavlm-base,2,0.13677130661072265,0.08420199152785778,dev-other
wavlm-base,3,0.19978590354956563,0.05321358597336694,dev-clean
wavlm-base,3,0.1572620400904932,0.07473502948317395,dev-other
wavlm-base,4,0.21881885177989033,0.04750553282946887,dev-clean
wavlm-base,4,0.17036502453089325,0.06571698246299294,dev-other
wavlm-base,5,0.2543128229025385,0.039734180297079806,dev-clean
wavlm-base,5,0.19794706640426407,0.054249390546828515,dev-other
wavlm-base,6,0.2813108238127635,0.035315927854725704,dev-clean
wavlm-base,6,0.2162202231966975,0.04765812567671146,dev-other
wavlm-base,7,0.3171715100877681,0.033286398375164186,dev-clean
wavlm-base,7,0.24495565050253362,0.042131655463564135,dev-other
wavlm-base,8,0.3452847341951403,0.03372717853441147,dev-clean
wavlm-base,8,0.2817051374692131,0.041146605119311605,dev-other
wavlm-base,9,0.35616048364089486,0.03711971172236718,dev-clean
wavlm-base,9,0.3009862773769507,0.04342516026032073,dev-other
wavlm-base,10,0.3515680263904226,0.035870396095537035,dev-clean
wavlm-base,10,0.29458403909070924,0.042547404137616714,dev-other
wavlm-base,11,0.3395600857075943,0.030267609968920688,dev-clean
wavlm-base,11,0.27106978652547253,0.03702374376474165,dev-other
wavlm-base,12,0.35051088239000133,0.03064747160722866,dev-clean
wavlm-base,12,0.28921664637428796,0.03702569062543336,dev-other
